width	height	arkid
220.0	250.0	m3806e0e42-e629-495c-99d0-83e750a27604
163.0	250.0	m35a2b0a70-7436-4724-8a62-6ddc2a2cb246
184.0	250.0	m367e53afa-f44a-40a5-8199-7a95a93f649a
182.0	250.0	m3e7a41337-4b49-4cb3-a2e9-f3d11f941e51
188.0	250.0	m3f334f19f-7b43-474b-89ec-cbf9506ca30a
187.0	250.0	m38ed1f151-8f38-44cd-9441-8276b86fe5f0
186.0	250.0	m30e69a56c-f1d2-4d9a-9aac-e7af765c9be9
230.0	250.0	m38a2e0082-bec9-483a-99fe-0a412bbb75a6
250.0	241.0	m3991a3ffb-456f-46b1-8ba1-401c50fb388e
250.0	241.0	m3f8663998-b0e7-4473-95e3-afbd83e373c8
201.0	250.0	m3116e3077-10fb-49bc-99ed-28b644b599e9
250.0	229.0	m3fd995a56-9616-4658-8b49-43dfe8539910
250.0	188.0	m372826989-5686-480e-a027-ec35d1c39011
250.0	215.0	m3668ff83e-f3cc-45b4-8c44-62956c984d9e
250.0	188.0	m3aa2046fd-0f96-445c-be30-a8b56be604b5
250.0	220.0	m36ac6e4b6-f064-4162-857f-f3b16e9d91d7
250.0	213.0	m34006430c-6f87-4d52-8e18-4f452279b5e4
218.0	250.0	m381787300-1e7f-4917-9602-ef6a549eb952
250.0	202.0	m38ebab448-60d7-49be-a877-313ddee73059
244.0	250.0	m342ab9434-471f-49e1-8c8f-e22b81cd9f53
250.0	215.0	m3751cd7da-2b0d-4313-addb-3942b4122842
250.0	227.0	m36a0a59da-7143-4215-aa1a-6e34f9caea01
189.0	250.0	m3d536fbf9-4017-4f5a-aa31-03d9eda97318
183.0	250.0	m3a62d5505-542a-4ce6-87ff-21a47a49857c
250.0	234.0	m3bdc38130-302c-46b7-92ab-088129758a6c
250.0	244.0	m31cbf19e2-201d-4742-9a81-900531ecb408
193.0	250.0	m358652aa3-c7c5-4cf4-9136-bca06525bd12
216.0	250.0	m376f9eeb4-8739-46d2-859f-114520b6b253
239.0	250.0	m30483e09a-5225-4d81-8bb8-02dd955b221d
250.0	149.0	m34764c4a3-ac29-42ad-83cb-e68dfba903b2
234.0	250.0	m36ac7c461-3eba-4d71-95c8-e79abe3eaa0e
250.0	217.0	m3af5349df-715d-4666-bd0f-37829d99dffb
249.0	137.0	m38be8c2bf-b0eb-4e72-bab7-ddb19826d52a
250.0	205.0	m3db6016ba-f729-45ee-b1d1-c66706afed88
224.0	250.0	m3cb894c0b-1631-43e2-bda7-28f4fb2e8019
250.0	233.0	m3f27d23b7-c7ae-492a-8746-99fbc72e771b
165.0	249.0	m3f9b72e7d-918f-43aa-b5ff-05d053fc46e1
149.0	250.0	m3ff0a7c57-72cd-4ab4-9d8b-03bb2f27c0bd
108.0	250.0	m3836ee9cb-b6f2-44c3-a62b-35a9ac18f284
129.0	250.0	m3afd2f42c-06cd-4eb1-b203-642ed7cdede8
245.0	250.0	m3fce4db9f-4c79-4349-8324-e1b0bb74cb3b
200.0	250.0	m3c53cca72-2772-40be-9a6b-e2c13a2d5ad8
200.0	250.0	m37c5f83ae-6f97-41f0-8e02-c1db0b2e7076
250.0	238.0	m3a117c536-7963-4c70-99b8-68d3d6cf78a4
225.0	250.0	m3330c50a9-b5ac-49ba-98d7-b2c7bca88ee7
240.0	250.0	m3914b012d-0cbc-49bd-a364-520eb345b3ea
191.0	250.0	m34230ff39-36e8-4f4e-b571-b6b5d249bfd4
242.0	250.0	m355a23ed1-e628-4faf-8bdd-6d86cfdef611
250.0	147.0	m326d3c698-75b4-4dc7-b55b-dd50f247bb66
250.0	214.0	m3ecd92707-8cac-483a-8d72-6db1d8dd8870
249.0	250.0	m3346bd67c-2e1d-4b38-8e55-f555e1a5cfa8
250.0	216.0	m358cf2006-3b42-4daf-b5e3-be8bb0a011ce
249.0	240.0	m3d3aacc6d-30f5-4228-907f-a9aa28a39341
250.0	230.0	m3a2bf68c4-0c6b-44fa-807d-6a8efcef316d
250.0	227.0	m3c69d2b29-f045-4b40-9079-ab03893c6ce0
165.0	249.0	m36f8204e8-19d0-49ae-9761-78e8e07e7989
211.0	250.0	m30fa4e208-c3a7-48b7-a56d-1d4244e15702
182.0	249.0	m36715afa0-a272-40c2-a4cb-bb3b9e8f5aca
206.0	250.0	m3c7e7cbc5-fba6-4a68-8d63-3b2eae534820
250.0	231.0	m3cf52f55d-01e2-4a26-acce-e79f405b6ed0
250.0	232.0	m39e7c5bb3-68ff-436c-b3d3-6f3c1e290261
250.0	234.0	m32fc231b6-3507-4144-b731-cc39cbb7e897
185.0	250.0	m3af090b3d-6de3-44b6-86be-59a0b705ed79
187.0	250.0	m3077449a2-e683-4384-b8b4-11252196bcf9
165.0	250.0	m374ecdc66-e721-4424-8644-301773d33039
250.0	249.0	m368c5dcb2-3133-47b8-8b08-fd2e9bbfe80f
177.0	250.0	m31384aa37-e457-4992-a244-29d99cd1908b
250.0	236.0	m39d4ec8a8-bcf0-467a-ae38-d699080c1ae7
250.0	217.0	m3879ca334-fc28-4944-a25d-7a053d4e2793
250.0	217.0	m320a0c176-de2f-4338-946e-f4650c26d667
250.0	193.0	m335b2c75f-5487-4de5-9298-260e68a3dd65
250.0	196.0	m3e38d9306-d3df-4b12-ad1f-195e37a8297e
196.0	250.0	m3f6f1ec23-1808-4208-b230-1708190dc8ea
223.0	250.0	m3c6d4495b-163e-49ed-b874-df0bb312c82f
250.0	209.0	m3d142bdbe-2493-46e0-b5a6-1e2f91b6bdaa
249.0	195.0	m3abfe8848-5746-432e-8277-641f593122ad
248.0	250.0	m3571955c4-268b-4371-a5b0-59804b8b0ea5
249.0	164.0	m36a46bd52-6360-4834-903b-946596f163fe
175.0	250.0	m3d89a5fa6-223c-4827-b5cb-abdbc2f39018
250.0	142.0	m339e9aaff-3184-42d6-8177-ca8ac733f486
250.0	193.0	m39095524a-bded-4d9b-a802-cdf5332fc7c6
250.0	195.0	m3cf768f25-2ced-454c-8c2e-5b06121c4c46
250.0	236.0	m37ecf358f-ecdf-4436-abf2-24f33c03ec31
250.0	225.0	m3bc97e91e-e379-4e93-9c4e-5c6ae58a52c5
250.0	177.0	m34a7e8a7b-d2fc-4429-9c7c-86ce8c4abeb4
250.0	243.0	m36b4ee4b7-66af-4baa-9874-4f25f50d9e9d
250.0	247.0	m3ce9bae9e-fd5e-4771-9bb3-5a22f899f88d
250.0	250.0	m39f930437-1548-4631-8b98-bce4905c2d6b
249.0	205.0	m3e4b6219f-a3a9-4854-bd95-40676689ba18
250.0	208.0	m3e0c717a0-ec76-4d25-875d-6643a31427dc
250.0	211.0	m35af442b9-1901-4a0c-aba0-49e6fa7b05f6
250.0	208.0	m3eeb94c2a-a8d9-4b72-add3-85c113b6e2df
250.0	230.0	m3fff20b1a-d5d5-4f54-8791-5ba9762ef640
250.0	237.0	m3f01bf936-5816-47e5-b164-96d8f35b031f
247.0	250.0	m3af306e05-73ee-4a40-9d0e-bb95390446c7
222.0	250.0	m31da62c26-d920-436d-a4f5-adf5bdcd8ac8
198.0	250.0	m3fb9ab5d1-8d13-4f07-b1ff-78655f65422e
233.0	250.0	m367085d9b-05b7-4af8-b42b-4bbfb21aa0f4
223.0	250.0	m3e11d4442-0485-49b0-8083-dda2648c123e
250.0	240.0	m3ceca6abf-4e1e-43f2-a3cc-b59d83710285
250.0	159.0	m36a41e247-c5c7-4e49-a347-89a1d30ba2cc
250.0	187.0	m3fceed396-e300-4ebd-bfb3-3be56729bb2b
250.0	178.0	m307f6ddbe-a58e-4bd2-a22b-581a3ed155b6
250.0	208.0	m304bb98f3-76a3-414f-90c2-856c8746ca74
249.0	180.0	m3c689b776-995d-4de1-9522-cef5b31ee6cf
250.0	207.0	m397674695-53bb-43e1-9a1c-7c718f52633f
250.0	169.0	m38c9c8161-86c6-466c-9134-7e23d9f09ef2
249.0	175.0	m30d3b64f4-f008-4dc5-b246-d7c814575db5
250.0	189.0	m3eacf5b8d-98b1-42cc-b69b-2a7ea7ddea59
250.0	198.0	m38a4a97af-d0d8-4d40-a9ec-bb4432a2ebfa
250.0	202.0	m3d14b4a0a-84b5-4097-a55f-f0a19fca9d7c
250.0	210.0	m3493e048b-239c-467c-b274-b45040b9582f
250.0	208.0	m32f2606cd-7c07-42ac-921f-e988f6aab7d0
250.0	194.0	m34c5db8f8-f9ed-4d05-ab35-d664270ee9dc
250.0	182.0	m386a9b0a7-dec8-4434-affa-cef78d5b6720
250.0	183.0	m3bbac175f-73a8-4d1b-a483-310cddcf7d75
