asset_name	image_arkid
NMNH-38465	http://n2t.net/ark:/65665/m3398e1f90-c41b-4d64-8301-c78d0c87ca1a
NMNH-91814	http://n2t.net/ark:/65665/m30acffef3-0886-4b3a-9fec-479daf526fbd
NMNH-114155	http://n2t.net/ark:/65665/m3a9dcc7b5-00eb-4981-b770-7c61ce8ee611
NMNH-18929	http://n2t.net/ark:/65665/m343667ddb-3d16-4cd2-8955-38fd06d00471
NMNH-18929-ab	http://n2t.net/ark:/65665/m30a3c9312-6311-48e0-a660-d32910904259
NMNH-18929-pieces	http://n2t.net/ark:/65665/m33602b45e-277d-48a8-96bb-77a7b3ade128
NMNH-114161	http://n2t.net/ark:/65665/m315d082da-514b-453d-8b91-d34a66fdd8cf
NMNH-114162	http://n2t.net/ark:/65665/m3c46d9c15-3d46-4ccc-9d31-4f0f5380240f
NMNH-114088	http://n2t.net/ark:/65665/m3ff711da1-a72a-4a10-8c63-b2899353fda8
NMNH-92676	http://n2t.net/ark:/65665/m3582cbc57-c44f-4c90-8025-5bed8647f016
NMNH-114148	http://n2t.net/ark:/65665/m34490711f-3504-4c12-826d-83356d8d2d24
NMNH-114093	http://n2t.net/ark:/65665/m39af747d2-9473-4318-8f9a-3464aada3812
NMNH-114096	http://n2t.net/ark:/65665/m3c9314ccf-fc42-4e83-ad04-445f6950a92f
NMNH-92700	http://n2t.net/ark:/65665/m3662e0e9d-d551-4da2-a0e3-db0c37cc0d0f
NMNH-114129	http://n2t.net/ark:/65665/m3631332db-214a-4432-9764-910262ca8773
NMNH-114130	http://n2t.net/ark:/65665/m37e7f4cb1-d7cb-45b9-a178-12b19fb5d676
NMNH-114149	http://n2t.net/ark:/65665/m3b5c769c9-08e6-4ce9-8431-36201604ccb5
NMNH-26898	http://n2t.net/ark:/65665/m3b67ae9b6-c398-4a53-bfd0-2b60467e294f
NMNH-10738	http://n2t.net/ark:/65665/m3a59b93b6-19c3-4360-ba37-548d8ba08697
NMNH-4770	http://n2t.net/ark:/65665/m31cc10638-ff61-43a4-b8fb-d96e6600108b
NMNH-5386	http://n2t.net/ark:/65665/m31afb1e77-39f3-460f-bc8c-f7af67ce9a00
NMNH-62545	http://n2t.net/ark:/65665/m312ecbdd2-316e-4666-af93-58589bb6fe07
NMNH-97786	http://n2t.net/ark:/65665/m3a29bf5cb-3c87-40af-bdab-815e7796cfa8
NMNH-C4878	http://n2t.net/ark:/65665/m39b07621c-3c43-4518-9586-be659b4a354a
NMNH-39018	http://n2t.net/ark:/65665/m390b53cfc-7a31-476d-9671-e1fe38d5b447
NMNH-114122	http://n2t.net/ark:/65665/m38821bb7f-230b-4334-99a6-6237eceac87e
NMNH-114124	http://n2t.net/ark:/65665/m3611883e0-c2ad-4534-a62b-608c54c6df3a
