width	height	arkid
245.0	250.0	m3ff3f8550-1acd-4bea-8a47-4f80278851e1
250.0	149.0	m321f2ae23-915f-4359-974e-8a7038a14b46
198.0	250.0	m30b5cd543-2497-4a64-9a29-b3e24796c309
224.0	250.0	m3a70586f6-8ca1-47e3-845d-c30460670181
250.0	236.0	m3b04befff-bd93-4565-bf87-dd4451ed0187
250.0	209.0	m365e8fc5e-0692-48a5-892b-067a95193c41
249.0	165.0	m307d2b05a-c0fb-4d6e-83a6-e7dddf3fdf93
250.0	246.0	m30a977673-826b-47f6-8101-ec971cc39672
250.0	211.0	m3c6d2afbc-169d-4573-8523-e917ca8fb298
250.0	182.0	m3cb8f8432-165b-45b4-abd5-03f2582fb759
169.0	250.0	m368868800-b1d6-40e8-bf38-c45eb5aef9b8
191.0	250.0	m36c89eded-5a32-43eb-a6bd-731e19fa2e0e
180.0	250.0	m3081c27d3-5f13-4ce7-a790-e8e4df832472
250.0	159.0	m3057c5a27-14a5-489b-9eb9-9666c357e896
250.0	149.0	m374b5b8b4-a61d-488d-83da-a9ffb6ba1ece
162.0	250.0	m36dca66e3-235a-4e29-af38-15bf043a11a0
250.0	186.0	m3b918aad3-71be-4a35-ba5f-66bcb801d6b1
246.0	250.0	m3daa6045b-c358-4602-9e57-1423024a226d
228.0	250.0	m3f67394ab-c138-4bfc-a55d-cb2ecf57810c
187.0	250.0	m3b2ab1882-a7d0-44c0-87cd-bc283d61a8f0
241.0	250.0	m33d0196c2-1a94-425a-b94e-5e5818998600
248.0	250.0	m3cf2efaeb-e373-4d6a-8448-8069bc62919e
215.0	250.0	m3602436e8-4974-40c4-8177-23dcdf322fb9
250.0	186.0	m349b398d9-7a56-4799-bdb6-00861a888d5f
250.0	237.0	m3eaf9a104-b32e-4c27-a9a6-682b624407c4
250.0	241.0	m3806e5b99-dabd-43b4-bf22-9a3cd73d7a7e
250.0	211.0	m32181bb38-7818-4ced-bd35-2547dc0de988
249.0	180.0	m3b9210bb2-83a6-4be5-b410-b7b38fe00ae5
205.0	250.0	m3c9cfc308-ebde-4789-bb12-dfd18b2cb78f
250.0	152.0	m396424034-5371-4113-bdc8-10e3eac47aac
209.0	250.0	m3248745fe-1e3c-4ac5-9226-2a8a02836d4a
245.0	250.0	m39229fed2-0133-4ad5-99bb-024019206eeb
250.0	124.0	m36967cf70-6b62-47fb-8fba-ac9be7339756
250.0	124.0	m31e1a9654-45f6-43c5-a556-f3fe64a46d2c
250.0	220.0	m3cb9b4d53-e099-4b3a-9fe1-c3ac8146095a
250.0	234.0	m39d82adcf-9294-4918-9da2-d546438f326a
250.0	172.0	m3dadf2b00-7185-4f18-bce5-70a9c0e1dcb9
219.0	250.0	m3dcd42d4e-e783-4a46-bcb7-d9f8d94e7ba2
250.0	194.0	m33316fe1b-02f8-47e6-9326-3992913946b5
188.0	250.0	m3ef6f3507-5f8c-46e8-a537-92f4b1111aea
188.0	250.0	m3ba856713-4fab-42d2-a075-cdb119d7247d
188.0	250.0	m384e3d37e-e339-4d47-a788-fe12d06a656f
188.0	250.0	m365ba4c04-ba58-43ad-8bbe-cfc5e1ff3ddd
246.0	250.0	m3dcb89e44-494e-49ce-b3de-e2a1969dafd7
250.0	167.0	m3c6e3d77e-1373-41a8-bf4a-da8b544e5982
244.0	250.0	m3b9ca8d36-0400-441e-91c3-ed46fd593a5a
250.0	249.0	m3fbf26ef9-e16c-40ca-adaf-9bdc50b914f9
195.0	250.0	m349e82386-a5d6-46be-897a-19036a2804fa
129.0	250.0	m39c69e2bd-614a-4a15-a1ce-d915d699fa69
250.0	188.0	m34597e8b3-2519-4f14-9ab6-342a176ba406
239.0	250.0	m39bd3cdfe-925e-408b-b249-79962a933be8
79.0	249.0	m3745d0398-360e-449c-94fa-9c4b3cf66c28
250.0	164.0	m3fa98897f-8f09-4995-b669-4db341d7660a
250.0	221.0	m342041539-8dfa-4045-a25b-9b25dafe0d8f
250.0	237.0	m3b6ba15dd-eddb-4d4e-a026-51b2c64d7c89
242.0	250.0	m301fe4061-01de-48c9-9889-75764426fc05
223.0	250.0	m34780ad72-971a-44a6-b520-bf6b8362cfa2
250.0	219.0	m3067780a9-0f22-420b-b148-c2d47e4142cb
250.0	219.0	m3d7abc115-020d-4dfe-8d8c-5d942aece0a8
201.0	250.0	m38971b727-344b-4c61-ba81-7ead9353031e
240.0	250.0	m3a231d1d7-cb91-41ff-8a38-c02fcbc90880
250.0	220.0	m3d30069d3-3480-4d72-bc5c-a5b51d3be3c3
246.0	250.0	m31c4dc792-d8c1-4d71-9863-e31a06e70785
250.0	209.0	m3e00c722b-b528-4e2a-b26b-048e069a005b
250.0	151.0	m32bf48734-8cfb-47e7-b32d-11cdc0a0c9f6
250.0	201.0	m3523a279b-54ba-4e26-be08-30cba605fed9
250.0	141.0	m331a46e49-57eb-48e8-b044-f603b1c8f537
250.0	221.0	m30ee89d40-5cbe-4599-aec5-a64f3ba9c0a8
250.0	206.0	m3692d900f-e242-4e29-97df-5a860e665ee5
250.0	198.0	m3bedae681-8413-4ccc-b2a1-2a671ed16525
250.0	223.0	m38814b276-b33e-4401-85e8-5d77edeab4c6
250.0	236.0	m36e5a3965-dc20-4de1-a69c-90bf404de6ee
250.0	204.0	m3b443f6ca-9333-4b32-a2da-fd74ed06ecfa
250.0	192.0	m3041dde68-10a7-4d2f-9389-ba9ae101ac53
249.0	190.0	m314686120-0a76-4ecc-a890-a1467a7b0a5a
250.0	178.0	m371eef429-7006-4eda-9f08-76c57c70b3b3
250.0	200.0	m340779a70-c668-4235-b4b1-97b7bc5b39eb
250.0	141.0	m344aed965-32ae-4c4d-82f6-c78f4677930b
250.0	162.0	m3c221bb79-c3d9-4f70-97c6-af10952ae897
250.0	193.0	m3ac18bac9-cf86-4123-b423-90eee66fcc3f
250.0	227.0	m3460de45a-07b9-4a66-8b9c-06a6546dcb0e
159.0	250.0	m378edb735-b893-4083-8008-17f3e5e9255a
250.0	188.0	m3e272fbce-e4c5-4245-992e-1491618a585d
250.0	191.0	m3c46ab776-5a41-49c8-a857-bdbdaa318bd9
250.0	223.0	m3ae71c266-abfc-47c1-87cd-de24a35475ad
250.0	222.0	m30f3bbeb3-6ea6-4072-89f4-5f1fb8fd435b
210.0	250.0	m3c1fd1e7f-9fa5-41dd-bd6b-1f41c2cae82d
250.0	224.0	m3ddf7ffaa-9d7a-47e1-a20b-774fddb12535
250.0	197.0	m3be1ce8e3-4296-4575-8c9c-3ee0f3db713a
250.0	197.0	m373ca29e0-cec2-4249-b346-82715763a650
