asset_name	image_arkid
NMNH-1132663_lateral-000001	http://n2t.net/ark:/65665/m30413de1c-6cc1-4951-ab57-59ecdd1c90c6
NMNH-1132673_anterior-000001	http://n2t.net/ark:/65665/m3997ac1a9-1ad1-472f-89bb-ec9f16628ccd
NMNH-1132673_lateral-000001	http://n2t.net/ark:/65665/m31075d56f-ffc4-4741-846a-55420e473a14
NMNH-1132675_anterior-000001	http://n2t.net/ark:/65665/m339c781cd-1d99-479f-b86f-e61687c38927
NMNH-1132675_lateral-000001	http://n2t.net/ark:/65665/m3e3ac8e0c-6920-4e68-8ecc-33995a639ea2
NMNH-1132679_anterior-000001	http://n2t.net/ark:/65665/m327083f76-1efa-425b-b788-2b79deb6a062
NMNH-1132679_lateral-000001	http://n2t.net/ark:/65665/m3516079b9-35df-4b67-8c37-be08f783b030
NMNH-1132679_posterior-000001	http://n2t.net/ark:/65665/m37f0b44af-e782-4bf7-a246-ab4bb469a33c
NMNH-1134018	http://n2t.net/ark:/65665/m340470b1b-995c-42e6-933e-5b972ae56b39
NMNH-1135430_anterior-000001	http://n2t.net/ark:/65665/m3a721b3a0-fe6c-4e4b-9319-8e01e374266f
NMNH-1135430_lateral1-000001	http://n2t.net/ark:/65665/m34d65955f-9ddc-49b1-862e-ff663c35e1a3
NMNH-1135430_lateral2-000001	http://n2t.net/ark:/65665/m31c81663a-7777-43ec-a233-0a48df92da91
NMNH-1135430_posterior-000001	http://n2t.net/ark:/65665/m348bc657e-d7f6-4b41-9390-40f53f7d4deb
NMNH-1152200-1	http://n2t.net/ark:/65665/m34a24e764-5d8f-411f-9b53-1b776ca48c2c
NMNH-1152200-2	http://n2t.net/ark:/65665/m3c33268f0-0f83-483e-8a2f-db2fd429113f
NMNH-1155719	http://n2t.net/ark:/65665/m34f7891da-ea8a-4dde-bde6-efe826741181
NMNH-1179688	http://n2t.net/ark:/65665/m3d8fc074c-279f-4788-b6b3-d2f09c6d200d
NMNH-1199285	http://n2t.net/ark:/65665/m36dca4b46-6231-4f87-84ea-fd711bbc87ce
NMNH-122596molMiddle-000001	http://n2t.net/ark:/65665/m3ae881165-075f-4cf4-a139-b411dae8197e
NMNH-122596molMiddle1-000001	http://n2t.net/ark:/65665/m3767594f5-9dc8-4293-a723-9692a24ffeaa
NMNH-1232218	http://n2t.net/ark:/65665/m3ff3f5156-50d4-4418-90bb-1deef8a6144f
NMNH-1232219	http://n2t.net/ark:/65665/m3fd36bca1-2891-4434-b9b9-62d05cc5b58d
NMNH-1232221	http://n2t.net/ark:/65665/m36dc9d30b-d230-4a27-a234-540004a5582e
NMNH-1232222	http://n2t.net/ark:/65665/m3fff4d616-a1a2-44d4-bde3-5bc67236f2c1
NMNH-1232223	http://n2t.net/ark:/65665/m366e66fe5-a45e-445a-8ab4-1e91b8854adc
NMNH-1232224	http://n2t.net/ark:/65665/m37008c988-4670-4d79-8796-a3bdfd72ea01
NMNH-1232225	http://n2t.net/ark:/65665/m3cf25aaf8-f0d1-4ec8-8bf5-61a8c3c46682
NMNH-1232226	http://n2t.net/ark:/65665/m3260c9cff-61a1-4ffe-8e6f-2300b3c5efb3
NMNH-1232227	http://n2t.net/ark:/65665/m3449796af-3bb8-46b3-8039-36058f93504a
NMNH-1232228	http://n2t.net/ark:/65665/m3f85e11a9-9be1-4c52-aaa0-5e8d6c676788
NMNH-1232781	http://n2t.net/ark:/65665/m382b3a9cb-00fe-4a09-88bc-533892a50e98
NMNH-1232783	http://n2t.net/ark:/65665/m3d1118a40-744a-493d-8ab9-f7e85c9446ad
NMNH-1232786	http://n2t.net/ark:/65665/m3e917471f-dfb9-4de8-8586-e2a1ea65778c
NMNH-1232861	http://n2t.net/ark:/65665/m36bb1416b-629c-4654-841e-0c6c5517de7c
NMNH-1232864	http://n2t.net/ark:/65665/m3ff3f8550-1acd-4bea-8a47-4f80278851e1
NMNH-1232865	http://n2t.net/ark:/65665/m321f2ae23-915f-4359-974e-8a7038a14b46
NMNH-1233444	http://n2t.net/ark:/65665/m30b5cd543-2497-4a64-9a29-b3e24796c309
NMNH-1233449	http://n2t.net/ark:/65665/m3a70586f6-8ca1-47e3-845d-c30460670181
NMNH-1235694	http://n2t.net/ark:/65665/m3b04befff-bd93-4565-bf87-dd4451ed0187
NMNH-1235816	http://n2t.net/ark:/65665/m365e8fc5e-0692-48a5-892b-067a95193c41
NMNH-1235882and1235883	http://n2t.net/ark:/65665/m307d2b05a-c0fb-4d6e-83a6-e7dddf3fdf93
NMNH-1235890	http://n2t.net/ark:/65665/m30a977673-826b-47f6-8101-ec971cc39672
NMNH-1235891	http://n2t.net/ark:/65665/m3c6d2afbc-169d-4573-8523-e917ca8fb298
NMNH-1235893	http://n2t.net/ark:/65665/m3cb8f8432-165b-45b4-abd5-03f2582fb759
NMNH-1235894	http://n2t.net/ark:/65665/m368868800-b1d6-40e8-bf38-c45eb5aef9b8
NMNH-1235895	http://n2t.net/ark:/65665/m36c89eded-5a32-43eb-a6bd-731e19fa2e0e
NMNH-1235897	http://n2t.net/ark:/65665/m3081c27d3-5f13-4ce7-a790-e8e4df832472
NMNH-1235907	http://n2t.net/ark:/65665/m3057c5a27-14a5-489b-9eb9-9666c357e896
NMNH-1235908	http://n2t.net/ark:/65665/m374b5b8b4-a61d-488d-83da-a9ffb6ba1ece
NMNH-1235909	http://n2t.net/ark:/65665/m36dca66e3-235a-4e29-af38-15bf043a11a0
NMNH-1235910	http://n2t.net/ark:/65665/m3b918aad3-71be-4a35-ba5f-66bcb801d6b1
NMNH-1235911	http://n2t.net/ark:/65665/m3daa6045b-c358-4602-9e57-1423024a226d
NMNH-1235913	http://n2t.net/ark:/65665/m3f67394ab-c138-4bfc-a55d-cb2ecf57810c
NMNH-1235914	http://n2t.net/ark:/65665/m3b2ab1882-a7d0-44c0-87cd-bc283d61a8f0
NMNH-1235915	http://n2t.net/ark:/65665/m33d0196c2-1a94-425a-b94e-5e5818998600
NMNH-1235916	http://n2t.net/ark:/65665/m3cf2efaeb-e373-4d6a-8448-8069bc62919e
NMNH-1235917	http://n2t.net/ark:/65665/m3602436e8-4974-40c4-8177-23dcdf322fb9
NMNH-1235918	http://n2t.net/ark:/65665/m349b398d9-7a56-4799-bdb6-00861a888d5f
NMNH-1235919	http://n2t.net/ark:/65665/m3eaf9a104-b32e-4c27-a9a6-682b624407c4
NMNH-1235920	http://n2t.net/ark:/65665/m3806e5b99-dabd-43b4-bf22-9a3cd73d7a7e
NMNH-1235920a	http://n2t.net/ark:/65665/m32181bb38-7818-4ced-bd35-2547dc0de988
NMNH-1235921	http://n2t.net/ark:/65665/m3b9210bb2-83a6-4be5-b410-b7b38fe00ae5
NMNH-1235922	http://n2t.net/ark:/65665/m3c9cfc308-ebde-4789-bb12-dfd18b2cb78f
NMNH-1235923	http://n2t.net/ark:/65665/m396424034-5371-4113-bdc8-10e3eac47aac
NMNH-1235924	http://n2t.net/ark:/65665/m3248745fe-1e3c-4ac5-9226-2a8a02836d4a
NMNH-1235926	http://n2t.net/ark:/65665/m39229fed2-0133-4ad5-99bb-024019206eeb
NMNH-1235927	http://n2t.net/ark:/65665/m36967cf70-6b62-47fb-8fba-ac9be7339756
NMNH-1236086	http://n2t.net/ark:/65665/m31e1a9654-45f6-43c5-a556-f3fe64a46d2c
NMNH-1236094	http://n2t.net/ark:/65665/m3cb9b4d53-e099-4b3a-9fe1-c3ac8146095a
NMNH-1237826	http://n2t.net/ark:/65665/m39d82adcf-9294-4918-9da2-d546438f326a
NMNH-1248394	http://n2t.net/ark:/65665/m3dadf2b00-7185-4f18-bce5-70a9c0e1dcb9
NMNH-1249968	http://n2t.net/ark:/65665/m3dcd42d4e-e783-4a46-bcb7-d9f8d94e7ba2
NMNH-1250014	http://n2t.net/ark:/65665/m33316fe1b-02f8-47e6-9326-3992913946b5
NMNH-1263616	http://n2t.net/ark:/65665/m3ef6f3507-5f8c-46e8-a537-92f4b1111aea
NMNH-12636762	http://n2t.net/ark:/65665/m3ba856713-4fab-42d2-a075-cdb119d7247d
NMNH-1263676	http://n2t.net/ark:/65665/m384e3d37e-e339-4d47-a788-fe12d06a656f
NMNH-1267175	http://n2t.net/ark:/65665/m365ba4c04-ba58-43ad-8bbe-cfc5e1ff3ddd
NMNH-1292941	http://n2t.net/ark:/65665/m3dcb89e44-494e-49ce-b3de-e2a1969dafd7
NMNH-13_1808_J.subtumida	http://n2t.net/ark:/65665/m3c6e3d77e-1373-41a8-bf4a-da8b544e5982
NMNH-1404605	http://n2t.net/ark:/65665/m3b9ca8d36-0400-441e-91c3-ed46fd593a5a
NMNH-1405138	http://n2t.net/ark:/65665/m3fbf26ef9-e16c-40ca-adaf-9bdc50b914f9
NMNH-1418159	http://n2t.net/ark:/65665/m349e82386-a5d6-46be-897a-19036a2804fa
NMNH-1418171	http://n2t.net/ark:/65665/m39c69e2bd-614a-4a15-a1ce-d915d699fa69
NMNH-1418172	http://n2t.net/ark:/65665/m34597e8b3-2519-4f14-9ab6-342a176ba406
NMNH-1418174	http://n2t.net/ark:/65665/m39bd3cdfe-925e-408b-b249-79962a933be8
NMNH-1418183	http://n2t.net/ark:/65665/m3745d0398-360e-449c-94fa-9c4b3cf66c28
NMNH-1418212	http://n2t.net/ark:/65665/m3fa98897f-8f09-4995-b669-4db341d7660a
NMNH-1418214	http://n2t.net/ark:/65665/m342041539-8dfa-4045-a25b-9b25dafe0d8f
NMNH-1418216	http://n2t.net/ark:/65665/m3b6ba15dd-eddb-4d4e-a026-51b2c64d7c89
